Trial ID,Range/Row,Plot ID,Location Code,Count,Planting Area,Research Station,Trial Info,Entry Number,ABBRC1,ABBRC2,ABBRC3,Material ID,Admin Code,Responsible Store,CGenes,Material Lot,Plot Barcode,Delay in Planting,Material Store,MINT Container ID,Container ALT ID
16DRGJFG652P13B,/,1006,P13B,,,PHBB,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208281064,,,A432F4AE-DE6F-4500-A256-CB9304B2735F,CNCHYNS945581
16DRGJFG652P10A,/,1009,P10A,,,PHGS,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208281033,,,76B2FC71-528B-4877-B872-59053E6EE47D,CNCHYNS945645
16DRGJFG652P10A,/,2009,P10A,,,PHGS,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208281019,,,6DD10DFF-090D-43EF-B351-A3F5FA58AD18,CNCHYNS945653
16DRGJFG652P10C,/,2009,P10C,,,PHGS,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208280963,,,75CEBE65-1BFA-41C3-9BED-39C12A0B8FC8,CNCHYNS945557
16DRGJFG652P10C,/,1009,P10C,,,PHGS,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208280977,,,5B8109C9-B098-4093-B273-4CB171FE557F,CNCHYNS945582
16DRGJFG652P11D,/,1009,P11D,,,PHGS,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208281005,,,35A4D516-E473-482C-80E2-BB37EF6E00DE,CNCHYNS945660
16DRGJFG652P11D,/,2009,P11D,,,PHGS,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208280991,,,9D16A64E-BA76-415D-A3FC-E4CBBCD0A245,CNCHYNS945555
16DRGJFG652P13B,/,1009,P13B,,,PHBB,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208281061,,,B6C395B2-14A3-4315-9A9F-E2204016509F,CNCHYNS945630
16DRGJFG652P13B,/,2009,P13B,,,PHBB,GJ FG    652,9,SSG306BtGT,,,16RC000793,MIXL:GO2001000,PHGS,Bt11;GA21B,,GO208281047,,,ECC15EE1-F32B-45D6-882D-0AB35FF338AC,CNCHYNS945657
16DRGJFG652P10A,/,2004,P10A,,,PHGS,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208281024,,,C104BA25-4B23-41D5-A21D-F1878C2C3CC1,CNCHYNS945566
16DRGJFG652P10A,/,1004,P10A,,,PHGS,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208281038,,,5CCBAA8B-BFF9-4499-AB56-661B122110EA,CNCHYNS945624
16DRGJFG652P10C,/,1004,P10C,,,PHGS,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208280982,,,EB91D8D5-02A3-4E05-A519-4B42B5C75D81,CNCHYNS945609
16DRGJFG652P10C,/,2004,P10C,,,PHGS,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208280968,,,C218D557-661A-46D9-9A52-5DB78FDB84EE,CNCHYNS945571
16DRGJFG652P11D,/,1004,P11D,,,PHGS,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208281010,,,8438AF96-07A2-45BB-A962-41CF917D96F3,CNCHYNS945596
16DRGJFG652P11D,/,2004,P11D,,,PHGS,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208280996,,,5458E4DB-A3F9-4D7B-AC1D-AFEF03835401,CNCHYNS945620
16DRGJFG652P13B,/,2004,P13B,,,PHBB,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208281052,,,B4579375-BE41-49D9-B5BE-7027E8247CE7,CNCHYNS945548
16DRGJFG652P13B,/,1004,P13B,,,PHBB,GJ FG    652,4,SS6414BtGT,,,16RC000794,MIXL:GO2001001,PHGS,Bt11;GA21B,,GO208281066,,,AA65B800-14ED-4994-B20B-87BB01432123,CNCHYNS945641
16DRGJFG652P10A,/,1005,P10A,,,PHGS,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208281037,,,F55AF145-5174-453E-A8FE-145531EC4E40,CNCHYNS945595
16DRGJFG652P10A,/,2005,P10A,,,PHGS,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208281023,,,0051A5D5-5AFF-463F-B5E4-45DAB795500E,CNCHYNS945604
16DRGJFG652P10C,/,2005,P10C,,,PHGS,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208280967,,,147C6F8B-FEDB-46F4-9CEA-663B919AE338,CNCHYNS945580
